date	barCode	description	sellingPrice	landingPrice	quantity	partyName	withBox
06 Jul 2021	6960	CHUDI	1810	1067	3	BG	0
06 Jul 2021	6961	CHUDI	1940	1141	1	BG	0
06 Jul 2021	6962	CHUDI	1530	899	3	BG	0
06 Jul 2021	6963	CHUDI	2190	1288	3	BG	0
06 Jul 2021	6964	CHUDI	2060	1214	1	BG	0
06 Jul 2021	6965	CHUDI	2190	1290	4	BG	0
06 Jul 2021	6966	CHUDI	1940	1141	3	BG	0
06 Jul 2021	6967	CHUDI	2000	1176	2	BG	0
06 Jul 2021	6968	CROP TOP	1940	1141	4	BG	0
06 Jul 2021	6969	CHUDI	2120	1248	2	BG	0
06 Jul 2021	6970	CROP TOP	2370	1394	2	BG	0
06 Jul 2021	6971	CROP TOP	1740	1026	2	BG	0
06 Jul 2021	6972	CHUDI	1690	994	4	BG	0
06 Jul 2021	6973	CHUDI	1560	919	3	BG	0
06 Jul 2021	6974	CHUDI	1490	879	2	BG	0
06 Jul 2021	6975	CHUDI	1740	1026	2	BG	0
06 Jul 2021	6976	CHUDI	1350	793	4	BG	0
06 Jul 2021	6977	CHUDI	1380	812	3	BG	0
06 Jul 2021	6978	CHUDI	1450	850	4	BG	0
06 Jul 2021	6979	CHUDI	1560	919	4	BG	0
06 Jul 2021	6980	CHUDI	1690	994	2	BG	0
06 Jul 2021	6981	CROP TOP	2000	1174	3	BG	0
06 Jul 2021	6982	CHUDI	1940	1141	4	BG	0
06 Jul 2021	6983	CROP TOP	1940	1141	3	BG	0
06 Jul 2021	6984	CHUDI	1740	1026	4	BG	0
06 Jul 2021	6985	CHUDI	1610	946	1	BG	0
06 Jul 2021	6986	CHUDI	1920	1131	2	BG	0
06 Jul 2021	6987	CHUDI	1740	1026	3	BG	0
06 Jul 2021	6988	CROP TOP	1710	1006	4	BG	0
06 Jul 2021	6989	CHUDI	1690	992	4	BG	0
06 Jul 2021	6990	CHUDI	1660	979	4	BG	0
06 Jul 2021	6991	CROP TOP	3620	2129	2	BG	0
06 Jul 2021	6992	CROP TOP	2490	1467	3	BG	0
06 Jul 2021	6994	CROP TOP	3370	1984	2	BG	0
06 Jul 2021	6995	CHUDI	1880	1107	4	BG	0
06 Jul 2021	6996	PANT	570	333	55	BS	0
06 Jul 2021	6997	PANT	560	327	1	BS	0
06 Jul 2021	6998	TSHIRT	390	264	26	MH	0
06 Jul 2021	6999	JAKET PCE	120	56	32	CH	0
06 Jul 2021	7000	BLOUSE READY MADE	360	214	7	CH	0
06 Jul 2021	7001	BLOUSE READY MADE	360	214	9	CH	0
06 Jul 2021	7002	BLOUSE READY MADE	430	252	4	CH	0
06 Jul 2021	7003	TOP	1280	754	2	BG	0
06 Jul 2021	7004	TOP	940	554	2	BG	0
06 Jul 2021	7005	TOP	1150	675	4	BG	0
06 Jul 2021	7006	TOP	940	554	2	BG	0
06 Jul 2021	7007	TOP	850	502	4	BG	0
06 Jul 2021	7008	TOP	1170	689	1	BG	0
06 Jul 2021	7009	TOP	850	502	3	BG	0
06 Jul 2021	7010	TOP	1390	815	3	BG	0
06 Jul 2021	7012	TOP	850	502	2	BG	0
06 Jul 2021	7014	TOP	1170	687	1	BG	0
06 Jul 2021	7015	ANKEL LEGIN XL	220	138	21	BG	0
06 Jul 2021	7017	TOP	690	403	1	BG	0
06 Jul 2021	7021	MIDDY	1370	856	1	GC	0
06 Jul 2021	7022	ANKEL LEGIN XL	220	132	8	VL	0
06 Jul 2021	7023	TSHIRT	400	233	4	MH	0
06 Jul 2021	7024	TSHIRT	330	192	6	MH	0
06 Jul 2021	7025	TSHIRT	500	296	6	MH	0
06 Jul 2021	7026	TSHIRT	570	336	8	MH	0
06 Jul 2021	7027	TSHIRT	570	336	25	MH	0
06 Jul 2021	7028	TSHIRT	240	144	25	MH	0
06 Jul 2021	7029	TSHIRT	220	132	6	MH	0
06 Jul 2021	7030	TSHIRT	520	304	6	MH	0
06 Jul 2021	7031	TSHIRT	310	185	4	MH	0
06 Jul 2021	7032	TSHIRT	450	264	4	MH	0
06 Jul 2021	7033	TSHIRT	370	216	5	MH	0
06 Jul 2021	7034	TSHIRT	290	173	6	MH	0
06 Jul 2021	7035	TSHIRT	360	209	3	MH	0
06 Jul 2021	7036	TSHIRT	370	216	5	MH	0
06 Jul 2021	7037	PANT	980	611	14	MH	0
06 Jul 2021	7038	RUPA JOHN VOLT 80-90	116	88	29	RAV	0
06 Jul 2021	7040	RUPA JOHN VOLT 95-100	129	98	39	RAV	0
06 Jul 2021	7041	RUPA JOHN POCKET 80	142	90	44	RAV	0
06 Jul 2021	7042	RUPA JOHN POCKET 95-100	155	108	12	RAV	0
06 Jul 2021	7043	POOMEX POCKET (80)	145	141	20	RAV	0
06 Jul 2021	7044	POOMEX POCKET 80-90	160	141	36	RAV	0
06 Jul 2021	7045	POOMEX POCKET (95-100)	180	157	37	RAV	0
